id,name,class,address,latitude,longitude
285,太魯閣國家公園遊客中心,國家公園,花蓮縣秀林鄉富世村10鄰富世291號,121.62299,24.158269
286,布洛灣遊憩區,國家公園,花蓮縣秀林鄉富世村1鄰富世1號,121.634763,24.142351
287,石梯坪遊憩區,國家級風景特定區,花蓮縣豐濱鄉港口村3鄰石梯坪52號,121.511563,23.483146
288,秀姑巒溪遊客中心園區,國家級風景特定區,花蓮縣瑞穗鄉瑞良村9鄰中山路三段215號,121.401158,23.487874
290,舞鶴台地,國家級風景特定區,花蓮縣瑞穗鄉舞鶴村3鄰掃叭頂二路2號,121.347168,23.457253
291,花蓮糖廠及周邊地區,國家級風景特定區,花蓮縣光復鄉大進村3鄰糖廠街19號,121.420631,23.658676
292,花蓮遊客中心園區,國家級風景特定區,花蓮縣壽豐鄉鹽寮村8鄰大坑5號,121.60238,23.904634
293,赤科山,國家級風景特定區,花蓮縣玉里鎮觀音里1鄰高寮1號,121.348147,23.384609
294,鯉魚潭風景區,國家級風景特定區,花蓮縣壽豐鄉池南村10鄰環潭北路83號,121.513037,23.933835
295,七星潭風景區,直轄市及縣,花蓮縣新城鄉大漢村1鄰七星街3號,121.631088,24.027085
296,合歡山國家森林遊樂區,森林遊樂區,南投縣仁愛鄉台14甲線19號,121.2701734,24.1221307
297,富源國家森林遊樂區,森林遊樂區,花蓮縣瑞穗鄉富源村3鄰富源路1號,121.37998,23.580385
298,慶修院,其他,花蓮縣吉安鄉吉安村19鄰中興路345號,121.564732,23.973873
299,東大門國際觀光夜市,其他,花蓮縣花蓮市國福里6鄰中山路二段1號,121.582266,24.010247
300,池南國家森林遊樂區,森林遊樂區,花蓮縣壽豐鄉池南村22鄰池南0號,121.54328,23.91982
301,花蓮縣石雕博物館,其他,花蓮縣花蓮市民立里7鄰文復路6號,121.628926,23.990155
303,遠雄海洋公園,其他,花蓮縣壽豐鄉鹽寮村7鄰福德189號,121.603331,23.90127
304,汶水遊客中心,國家公園,苗栗縣大湖鄉富興村4鄰水尾坪82號,120.876997,24.44799
305,獅頭山風景區苗栗地區 ,國家級風景特定區,苗栗縣南庄鄉獅山村1鄰田美1號,121.017338,24.621195
306,觀霧遊客中心,國家公園,苗栗縣泰安鄉梅園村6鄰觀霧1之1號,121.11456,24.506585
307,雪見遊憩區,國家公園,苗栗縣泰安鄉梅園村6鄰雪見10號,121.013283,24.424806
309,大湖草莓文化館,其他,苗栗縣大湖鄉富興村7鄰八寮灣33號,120.872602,24.439305
310,客家圓樓,其他,苗栗縣銅鑼鄉九湖村12鄰銅科南路6號,120.770859,24.462693
311,客家大院,其他,苗栗縣銅鑼鄉九湖村12鄰銅科南路6號,120.770859,24.462693
312,尚順育樂世界,觀光地區,苗栗縣頭份市東庄里11鄰中央路98號,120.905658,24.689157
313,木雕博物館,博物館,苗栗縣三義鄉廣盛村38鄰廣聲新城88號,120.761055,24.405902
314,白沙屯拱天宮,宗教場所,苗栗縣通霄鎮白東里2鄰白東8號,120.709256,24.571328
315,臺灣客家文化館,博物館,苗栗縣銅鑼鄉九湖村12鄰銅科南路6號,120.770859,24.462693
316,舊山線鐵道自行車,觀光地區,苗栗縣三義鄉龍騰村4鄰外庄20之2號,120.774005,24.360804
317,西湖渡假村,其他,苗栗縣三義鄉西湖村1鄰西湖11號,120.760558,24.389665
318,飛牛牧場,休閒農業區及休閒農場,苗栗縣通霄鎮南和里12鄰南和166號,120.741934,24.440693
319,香格里拉樂園,其他,苗栗縣造橋鄉豐湖村1鄰乳姑山15之3號,120.844376,24.626372
320,龍鳳漁港,觀光地區,苗栗縣竹南鎮龍鳳里21鄰龍江街369巷15號,120.858535,24.699724
321,北竿遊客中心,國家級風景特定區,連江縣北竿鄉塘岐村1鄰1號,119.989896,26.218824
322,南竿遊客中心,國家級風景特定區,連江縣南竿鄉清水村1鄰1號,119.937372,26.146504
323,東引遊客中心,國家級風景特定區,連江縣東引鄉中柳村1鄰1號,120.486791,26.36713
325,中山林遊客中心,國家公園,金門縣金寧鄉后盤村4鄰伯玉路二段460號,118.351989,24.443698
326,九宮四維坑道,國家公園,金門縣烈嶼鄉林湖村17鄰羅厝5之5號,118.262406,24.423852
329,得月樓,國家公園,金門縣金城鎮金水里5鄰前水頭45號,118.298506,24.40977
